Country_Name,Country_Code,Region,IncomeGroup
Aruba,ABW,Latin America & Caribbean,High income: nonOECD
Afghanistan,AFG,South Asia,Low income
Angola,AGO,Sub-Saharan Africa,Upper middle income
Albania,ALB,Europe & Central Asia,Upper middle income
Andorra,AND,Europe & Central Asia,High income: nonOECD
Arab World,ARB,,
United Arab Emirates,ARE,Middle East & North Africa,High income: nonOECD
Argentina,ARG,Latin America & Caribbean,Upper middle income
Armenia,ARM,Europe & Central Asia,Lower middle income
American Samoa,ASM,East Asia & Pacific,Upper middle income
Antigua and Barbuda,ATG,Latin America & Caribbean,High income: nonOECD
Australia,AUS,East Asia & Pacific,High income: OECD
Austria,AUT,Europe & Central Asia,High income: OECD
Azerbaijan,AZE,Europe & Central Asia,Upper middle income
Burundi,BDI,Sub-Saharan Africa,Low income
Belgium,BEL,Europe & Central Asia,High income: OECD
Benin,BEN,Sub-Saharan Africa,Low income
Burkina Faso,BFA,Sub-Saharan Africa,Low income
Bangladesh,BGD,South Asia,Low income
Bulgaria,BGR,Europe & Central Asia,Upper middle income
Bahrain,BHR,Middle East & North Africa,High income: nonOECD
"Bahamas, The",BHS,Latin America & Caribbean,High income: nonOECD
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income
Belarus,BLR,Europe & Central Asia,Upper middle income
Belize,BLZ,Latin America & Caribbean,Upper middle income
Bermuda,BMU,North America,High income: nonOECD
Bolivia,BOL,Latin America & Caribbean,Lower middle income
Brazil,BRA,Latin America & Caribbean,Upper middle income
Barbados,BRB,Latin America & Caribbean,High income: nonOECD
Brunei Darussalam,BRN,East Asia & Pacific,High income: nonOECD
Bhutan,BTN,South Asia,Lower middle income
Botswana,BWA,Sub-Saharan Africa,Upper middle income
Sub-Saharan Africa (IFC classification),CAA,,
Central African Republic,CAF,Sub-Saharan Africa,Low income
Canada,CAN,North America,High income: OECD
East Asia and the Pacific (IFC classification),CEA,,
Europe and Central Asia (IFC classification),CEU,,
Switzerland,CHE,Europe & Central Asia,High income: OECD
Channel Islands,CHI,Europe & Central Asia,High income: nonOECD
Chile,CHL,Latin America & Caribbean,High income: OECD
China,CHN,East Asia & Pacific,Upper middle income
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income
Latin America and the Caribbean (IFC classification),CLA,,
Middle East and North Africa (IFC classification),CME,,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income
Colombia,COL,Latin America & Caribbean,Upper middle income
Comoros,COM,Sub-Saharan Africa,Low income
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,Latin America & Caribbean,Upper middle income
South Asia (IFC classification),CSA,,
Caribbean small states,CSS,,
Cuba,CUB,Latin America & Caribbean,Upper middle income
Curaçao,CUW,Latin America & Caribbean,High income: nonOECD
Cayman Islands,CYM,Latin America & Caribbean,High income: nonOECD
Cyprus,CYP,Europe & Central Asia,High income: nonOECD
Czech Republic,CZE,Europe & Central Asia,High income: OECD
Germany,DEU,Europe & Central Asia,High income: OECD
Djibouti,DJI,Middle East & North Africa,Lower middle income
Dominica,DMA,Latin America & Caribbean,Upper middle income
Denmark,DNK,Europe & Central Asia,High income: OECD
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income
Algeria,DZA,Middle East & North Africa,Upper middle income
East Asia & Pacific,EAP,,
East Asia & Pacific (all income levels),EAS,,
Europe & Central Asia,ECA,,
Europe & Central Asia (all income levels),ECS,,
Ecuador,ECU,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income
Euro area,EMU,,
Eritrea,ERI,Sub-Saharan Africa,Low income
Spain,ESP,Europe & Central Asia,High income: OECD
Estonia,EST,Europe & Central Asia,High income: OECD
Ethiopia,ETH,Sub-Saharan Africa,Low income
European Union,EUU,,
Finland,FIN,Europe & Central Asia,High income: OECD
Fiji,FJI,East Asia & Pacific,Upper middle income
France,FRA,Europe & Central Asia,High income: OECD
Faeroe Islands,FRO,Europe & Central Asia,High income: nonOECD
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income
Gabon,GAB,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,Europe & Central Asia,High income: OECD
Georgia,GEO,Europe & Central Asia,Lower middle income
Ghana,GHA,Sub-Saharan Africa,Lower middle income
Guinea,GIN,Sub-Saharan Africa,Low income
"Gambia, The",GMB,Sub-Saharan Africa,Low income
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income
Equatorial Guinea,GNQ,Sub-Saharan Africa,High income: nonOECD
Greece,GRC,Europe & Central Asia,High income: OECD
Grenada,GRD,Latin America & Caribbean,Upper middle income
Greenland,GRL,Europe & Central Asia,High income: nonOECD
Guatemala,GTM,Latin America & Caribbean,Lower middle income
Guam,GUM,East Asia & Pacific,High income: nonOECD
Guyana,GUY,Latin America & Caribbean,Lower middle income
High income,HIC,,
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income: nonOECD
Honduras,HND,Latin America & Caribbean,Lower middle income
Heavily indebted poor countries (HIPC),HPC,,
Croatia,HRV,Europe & Central Asia,High income: nonOECD
Haiti,HTI,Latin America & Caribbean,Low income
Hungary,HUN,Europe & Central Asia,Upper middle income
Indonesia,IDN,East Asia & Pacific,Lower middle income
Isle of Man,IMN,Europe & Central Asia,High income: nonOECD
India,IND,South Asia,Lower middle income
Ireland,IRL,Europe & Central Asia,High income: OECD
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income
Iraq,IRQ,Middle East & North Africa,Upper middle income
Iceland,ISL,Europe & Central Asia,High income: OECD
Israel,ISR,Middle East & North Africa,High income: OECD
