Edition,Entity_code,Entity,GLOBAL_ID,Series_with_units,Rank,Value,Date_description,Note,Source,Source_date
2014,AGO,Angola,NRI,Networked Readiness Index (1-7),144,2.5184885778,2014 edition,Refer to Chapter 1.1 of The Global Information Technology 2014 for details about the computation methodology,World Economic Forum;The Global Information Technology Report 2014; www.weforum.org/gcr,22/04/2014
2014,ALB,Albania,NRI,Networked Readiness Index (1-7),95,3.6638228019,2014 edition,Refer to Chapter 1.1 of The Global Information Technology 2014 for details about the computation methodology,World Economic Forum;The Global Information Technology Report 2014; www.weforum.org/gcr,22/04/2014
2014,ARE,United Arab Emirates,NRI,Networked Readiness Index (1-7),24,5.1989004455,2014 edition,Refer to Chapter 1.1 of The Global Information Technology 2014 for details about the computation methodology,World Economic Forum;The Global Information Technology Report 2014; www.weforum.org/gcr,22/04/2014
2014,ARG,Argentina,NRI,Networked Readiness Index (1-7),100,3.5299445303,2014 edition,Refer to Chapter 1.1 of The Global Information Technology 2014 for details about the computation methodology,World Economic Forum;The Global Information Technology Report 2014; www.weforum.org/gcr,22/04/2014
2014,ARM,Armenia,NRI,Networked Readiness Index (1-7),65,4.0285195196,2014 edition,Refer to Chapter 1.1 of The Global Information Technology 2014 for details about the computation methodology,World Economic Forum;The Global Information Technology Report 2014; www.weforum.org/gcr,22/04/2014
2014,AUS,Australia,NRI,Networked Readiness Index (1-7),18,5.3968963375,2014 edition,Refer to Chapter 1.1 of The Global Information Technology 2014 for details about the computation methodology,World Economic Forum;The Global Information Technology Report 2014; www.weforum.org/gcr,22/04/2014
2014,AUT,Austria,NRI,Networked Readiness Index (1-7),22,5.2616798254,2014 edition,Refer to Chapter 1.1 of The Global Information Technology 2014 for details about the computation methodology,World Economic Forum;The Global Information Technology Report 2014; www.weforum.org/gcr,22/04/2014
2014,AZE,Azerbaijan,NRI,Networked Readiness Index (1-7),49,4.3109011634,2014 edition,Refer to Chapter 1.1 of The Global Information Technology 2014 for details about the computation methodology,World Economic Forum;The Global Information Technology Report 2014; www.weforum.org/gcr,22/04/2014
2014,BDI,Burundi,NRI,Networked Readiness Index (1-7),147,2.3060043816,2014 edition,Refer to Chapter 1.1 of The Global Information Technology 2014 for details about the computation methodology,World Economic Forum;The Global Information Technology Report 2014; www.weforum.org/gcr,22/04/2014
2014,BEL,Belgium,NRI,Networked Readiness Index (1-7),27,5.0618945691,2014 edition,Refer to Chapter 1.1 of The Global Information Technology 2014 for details about the computation methodology,World Economic Forum;The Global Information Technology Report 2014; www.weforum.org/gcr,22/04/2014
2014,BEN,Benin,NRI,Networked Readiness Index (1-7),135,2.8230118224,2014 edition,Refer to Chapter 1.1 of The Global Information Technology 2014 for details about the computation methodology,World Economic Forum;The Global Information Technology Report 2014; www.weforum.org/gcr,22/04/2014
2014,BFA,Burkina Faso,NRI,Networked Readiness Index (1-7),136,2.781788976,2014 edition,Refer to Chapter 1.1 of The Global Information Technology 2014 for details about the computation methodology,World Economic Forum;The Global Information Technology Report 2014; www.weforum.org/gcr,22/04/2014
2014,BGD,Bangladesh,NRI,Networked Readiness Index (1-7),119,3.2116453846,2014 edition,Refer to Chapter 1.1 of The Global Information Technology 2014 for details about the computation methodology,World Economic Forum;The Global Information Technology Report 2014; www.weforum.org/gcr,22/04/2014
2014,BGR,Bulgaria,NRI,Networked Readiness Index (1-7),73,3.9579068176,2014 edition,Refer to Chapter 1.1 of The Global Information Technology 2014 for details about the computation methodology,World Economic Forum;The Global Information Technology Report 2014; www.weforum.org/gcr,22/04/2014
