Edition,Entity_code,GLOBAL_ID,Series_with_units,Rank,Value
2012,AGO,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",105,0.0714
2013,AGO,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",,
2014,AGO,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",112,0.0263
2012,ALB,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",79,0.1286
2013,ALB,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",91,0.1053
2014,ALB,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",92,0.1053
2012,ARE,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",79,0.1286
2013,ARE,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",11,0.7368
2014,ARE,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",11,0.7368
2012,ARG,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",56,0.2
2013,ARG,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",51,0.2895
2014,ARG,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",52,0.2895
2012,ARM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",117,0.0429
2013,ARM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",124,0
2014,ARM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0
2012,AUS,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",2,0.9143
2013,AUS,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",8,0.7632
2014,AUS,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",8,0.7632
2012,AUT,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",21,0.5
2013,AUT,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",41,0.3684
2014,AUT,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",41,0.3684
2012,AZE,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",66,0.1714
2013,AZE,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",81,0.1316
2014,AZE,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",82,0.1316
2012,BDI,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",129,0.0143
2013,BDI,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",124,0
2014,BDI,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0
2012,BEL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",17,0.5857
2013,BEL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",81,0.1316
2014,BEL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",82,0.1316
2012,BEN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",105,0.0714
2013,BEN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",96,0.0789
2014,BEN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",97,0.0789
2012,BFA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",111,0.0571
2013,BFA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",76,0.1579
2014,BFA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",77,0.1579
2012,BGD,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",94,0.1
2013,BGD,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",96,0.0789
2014,BGD,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",97,0.0789
2012,BGR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",38,0.3
2013,BGR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",111,0.0263
2014,BGR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",112,0.0263
2012,BHR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",11,0.6714
2013,BHR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",19,0.6579
2014,BHR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",19,0.6579
2012,BIH,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",117,0.0429
2013,BIH,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",124,0
2014,BIH,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0
2012,BLZ,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",94,0.1
2013,BLZ,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",,
2014,BLZ,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",,
2012,BOL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",56,0.2
2013,BOL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",62,0.2105
2014,BOL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",63,0.2105
2012,BRA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",41,0.2857
2013,BRA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",31,0.5
2014,BRA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",31,0.5
2012,BRB,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",94,0.1
2013,BRB,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",111,0.0263
2014,BRB,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",112,0.0263
2012,BRN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",66,0.1714
2013,BRN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",34,0.4737
2014,BRN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",34,0.4737
2012,BTN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",,
2013,BTN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",,
2014,BTN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",112,0.0263
2012,BWA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",94,0.1
2013,BWA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",111,0.0263
2014,BWA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",112,0.0263
2012,CAN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",8,0.7286
2013,CAN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",15,0.6842
2014,CAN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",15,0.6842
2012,CHE,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",56,0.2
2013,CHE,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",43,0.3421
2014,CHE,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",44,0.3421
2012,CHL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",34,0.3429
2013,CHL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",19,0.6579
2014,CHL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",19,0.6579
2012,CHN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",32,0.3714
2013,CHN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",62,0.2105
2014,CHN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",63,0.2105
2012,CIV,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",66,0.1714
2013,CIV,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",81,0.1316
2014,CIV,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",82,0.1316
2012,CMR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",73,0.1571
2013,CMR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",111,0.0263
