Country_Name,Country_Code,Population
Aruba,ABW,102384
Andorra,AND,78360
Afghanistan,AFG,29824536
Angola,AGO,20820525
Albania,ALB,3162083
Arab World,ARB,362466629
United Arab Emirates,ARE,9205651
Argentina,ARG,41086927
Armenia,ARM,2969081
American Samoa,ASM,55128
Antigua and Barbuda,ATG,89069
Australia,AUS,22722000
Austria,AUT,8429991
Azerbaijan,AZE,9295784
Burundi,BDI,9849569
Belgium,BEL,11128246
Benin,BEN,10050702
Burkina Faso,BFA,16460141
Bangladesh,BGD,154695368
Bulgaria,BGR,7305888
Bahrain,BHR,1317827
"Bahamas, The",BHS,371960
Bosnia and Herzegovina,BIH,3833916
Belarus,BLR,9464000
Belize,BLZ,324060
Bermuda,BMU,64806
Bolivia,BOL,10496285
Brazil,BRA,198656019
Barbados,BRB,283221
Brunei Darussalam,BRN,412238
Bhutan,BTN,741822
Botswana,BWA,2003910
Sub-Saharan Africa (IFC classification),CAA,
Central African Republic,CAF,4525209
Canada,CAN,34754312
East Asia and the Pacific (IFC classification),CEA,
Europe and Central Asia (IFC classification),CEU,
Switzerland,CHE,7996861
Channel Islands,CHI,161235
Chile,CHL,17464814
China,CHN,1350695000
Cote d'Ivoire,CIV,19839750
Latin America and the Caribbean (IFC classification),CLA,
Middle East and North Africa (IFC classification),CME,
Cameroon,CMR,21699631
"Congo, Rep.",COG,4337051
Colombia,COL,47704427
Comoros,COM,717503
Cabo Verde,CPV,494401
Costa Rica,CRI,4805295
South Asia (IFC classification),CSA,
Caribbean small states,CSS,6964458
Cuba,CUB,11270957
Curacao,CUW,152056
Cayman Islands,CYM,57570
Cyprus,CYP,1128994
Czech Republic,CZE,10510785
Germany,DEU,80425823
Djibouti,DJI,859652
Dominica,DMA,71684
Denmark,DNK,5591572
Dominican Republic,DOM,10276621
Algeria,DZA,38481705
East Asia & Pacific (developing only),EAP,1991616400
East Asia & Pacific (all income levels),EAS,2233783501
Europe & Central Asia (developing only),ECA,270781183
Europe & Central Asia (all income levels),ECS,896046189
Ecuador,ECU,15492264
"Egypt, Arab Rep.",EGY,80721874
Euro area,EMU,333252928
Eritrea,ERI,6130922
Spain,ESP,46761264
Estonia,EST,1329301
Ethiopia,ETH,91728849
European Union,EUU,505581611
Finland,FIN,5413971
Fiji,FJI,874742
France,FRA,65696689
Faeroe Islands,FRO,49506
"Micronesia, Fed. Sts.",FSM,103395
Gabon,GAB,1632572
United Kingdom,GBR,63612729
Georgia,GEO,4490700
Ghana,GHA,25366462
Guinea,GIN,11451273
"Gambia, The",GMB,1791225
Guinea-Bissau,GNB,1663558
Equatorial Guinea,GNQ,736296
Greece,GRC,11092771
Grenada,GRD,105483
Greenland,GRL,56810
Guatemala,GTM,15082831
Guam,GUM,162810
Guyana,GUY,795369
High income,HIC,1299840043
"Hong Kong SAR, China",HKG,7154600
Honduras,HND,7935846
Heavily indebted poor countries (HIPC),HPC,655971763
Croatia,HRV,4267600
Haiti,HTI,10173775
Hungary,HUN,9920362
Indonesia,IDN,246864191
Isle of Man,IMN,85284
India,IND,1236686732
Not classified,INX,
Ireland,IRL,4586897
"Iran, Islamic Rep.",IRN,76424443
Iraq,IRQ,32578209
Iceland,ISL,320716
Israel,ISR,7910500
Italy,ITA,59539717
Jamaica,JAM,2707805
Jordan,JOR,6318000
Japan,JPN,127561489
Kazakhstan,KAZ,16791425
Kenya,KEN,43178141
Kyrgyz Republic,KGZ,5607200
Cambodia,KHM,14864646
Kiribati,KIR,100786
St. Kitts and Nevis,KNA,53584
"Korea, Rep.",KOR,50004441
Kosovo,KSV,1807106
Kuwait,KWT,3250496
Latin America & Caribbean (developing only),LAC,581379260
Lao PDR,LAO,6645827
Lebanon,LBN,4424888
Liberia,LBR,4190435
Libya,LBY,6154623
St. Lucia,LCA,180870
Latin America & Caribbean (all income levels),LCN,608561443
Least developed countries: UN classification,LDC,878193577
Low income,LIC,846480001
Liechtenstein,LIE,36656
Sri Lanka,LKA,20328000
Lower middle income,LMC,2506986571
Low & middle income,LMY,5744062847
Lesotho,LSO,2051545
Lithuania,LTU,2987773
Luxembourg,LUX,530946
Latvia,LVA,2034319
"Macao SAR, China",MAC,556783
St. Martin (French part),MAF,30959
Morocco,MAR,32521143
Monaco,MCO,37579
Moldova,MDA,3559519
Madagascar,MDG,22293914
Maldives,MDV,338442
Middle East & North Africa (all income levels),MEA,395316900
Mexico,MEX,120847477
Marshall Islands,MHL,52555
Middle income,MIC,4897582846
"Macedonia, FYR",MKD,2105575
Mali,MLI,14853572
Malta,MLT,419455
Myanmar,MMR,52797319
Middle East & North Africa (developing only),MNA,339560601
Montenegro,MNE,621081
Mongolia,MNG,2796484
Northern Mariana Islands,MNP,53305
Mozambique,MOZ,25203395
Mauritania,MRT,3796141
Mauritius,MUS,1291456
Malawi,MWI,15906483
Malaysia,MYS,29239927
North America,NAC,348733158
Namibia,NAM,2259393
New Caledonia,NCL,258121
Niger,NER,17157042
Nigeria,NGA,168833776
Nicaragua,NIC,5991733
Netherlands,NLD,16754962
High income: nonOECD,NOC,250298704
Norway,NOR,5018573
Nepal,NPL,27474377
New Zealand,NZL,4433100
High income: OECD,OEC,1049541339
OECD members,OED,1254306306
Oman,OMN,3314001
Other small states,OSS,19920475
Pakistan,PAK,179160111
Panama,PAN,3802281
Peru,PER,29987800
Philippines,PHL,96706764
Palau,PLW,20754
Papua New Guinea,PNG,7167010
Poland,POL,38535873
Puerto Rico,PRI,3667084
"Korea, Dem. Rep.",PRK,24763188
Portugal,PRT,10514844
Paraguay,PRY,6687361
Pacific island small states,PSS,2252782
French Polynesia,PYF,273814
Qatar,QAT,2050514
Romania,ROU,20076727
Russian Federation,RUS,143533000
Rwanda,RWA,11457801
South Asia,SAS,1649249388
Saudi Arabia,SAU,28287855
Sudan,SDN,37195349
Senegal,SEN,13726021
Singapore,SGP,5312400
Solomon Islands,SLB,549598
Sierra Leone,SLE,5978727
El Salvador,SLV,6297394
San Marino,SMR,31247
Somalia,SOM,10195134
Serbia,SRB,7223887
Sub-Saharan Africa (developing only),SSA,911476015
South Sudan,SSD,10837527
Sub-Saharan Africa (all income levels),SSF,912212311
Small states,SST,29137715
Sao Tome and Principe,STP,188098
Suriname,SUR,534541
Slovak Republic,SVK,5407579
Slovenia,SVN,2057159
Sweden,SWE,9519374
Swaziland,SWZ,1230985
Sint Maarten (Dutch part),SXM,39088
Seychelles,SYC,88303
Syrian Arab Republic,SYR,22399254
Turks and Caicos Islands,TCA,32427
Chad,TCD,12448175
Togo,TGO,6642928
